text,fake,title,text_seg,len
"你收到 LINE 傳「別再吃肉丸了！業者要判死刑啦」、「嚇！ㄧ顆超標 吃毒澱粉像服毒」這樣的訊息嗎？其實這樣的說法來自 2013 的新聞標題，但經過後續的加油添醋，讓這則訊息已經變得有點扭曲了。

LINE訊息破解：
https://www.mygopen.com/2018/03/line_7.html

接觸這類的加工食品當然要多注意，這也需要相關單位來把關，但訊息硬是將肉圓、毒澱粉跟洗腎劃上等號，專家表示這缺乏科學佐證，控制三高才是預防慢性腎臟病和洗腎的重點囉！ ",0,保健秘訣、食品安全,你 收到 LINE 傳 別 再 吃 肉丸 業者 要判 死刑 啦 嚇 ㄧ 顆 超標 吃毒 澱粉 像 服毒 這樣 訊息 嗎 其實 這樣 說法 來自 2013 新聞 標題 但 經過 後續 加油添醋 讓 這則 訊息 已經 變得 扭曲 LINE 訊息 破解 https www mygopen com 2018 03 line html 接觸 這類 加工 食品 當然 要 多 注意 這也 需要 相關 單位 來 把關 但 訊息 硬是 將 肉圓 毒 澱粉 跟 洗腎 劃上 等號 專家 表示 這 缺乏 科學 佐證 控制 三高 才 預防 慢性 腎臟病 洗腎 重點 囉,274
"黃立民老師上課！ 2020.3.2

#關於PCR檢測：
1.PCR本身的敏感度不是100%。雖檢體有病毒但檢查不夠敏感，PCR就會是陰性。另外要看採取檢體的方式，比方說採到比較差的檢體或是下呼吸道才有病毒，但你採上呼吸道就採不到。

2.第一代的PCR檢驗方式還有待加強，還可以再好一點。

3.PCR一次檢驗偽陰性大約30%，兩次9%，三次3%，三次這樣做錯的機會就很低了，目前的極限大概就這樣子。

4.復陽的意義？大部分復陽病毒量是不高的。傳染力也不高。現在觀察到病人3~4週都有可能測到病毒，所以回家後還是要勤洗手做健康管理。

5.復陽對於感控可能也是壓力，因為意味需要把病人隔離更久。

#關於病毒變異：
1.病毒變異會朝著增強傳染的效率還有致病的能力這兩個方向。

2.病毒變異的位置如果變到PCR偵測的序列，那這個PCR就會測不出來。目前全世界都很即時的追蹤病毒的序列，這可以很快的修正。

3.病毒變異如果是對疫苗針對的位置變異，這就會影響到疫苗的開發，疫苗就需要改變。
（p.s.這就會讓疫苗生產所需的時間拉更長）

4.目前最有效的藥物（指瑞得西韋）是針對酵素，這個酵素比較不容易變異。

5.新冠是一隻演化得非常成功的病毒，很適應人類，讓人類得病輕症甚至無症狀且還可以傳染，這樣就非常難防治。

結論：全世界應該沒有哪個國家會躲過這波流行。案例很少的國家你要小心他是真的少還是沒有去偵測。",0,保健秘訣、食品安全,黃立民 老師 上課 2020.3 關於 PCR 檢測 PCR 本身 敏感度 不是 100% 雖 檢體 病毒 但 檢查 不 夠 敏感 PCR 就 會 陰性 另外 要 看 採取 檢體 方式 比方說 採到 比較 差 檢體 或是 下 呼吸道 才 病毒 但 你採 上呼吸道 就 採不到 第一代 PCR 檢驗 方式 還 有待 加強 還可以 再 好 一點 PCR 一次 檢驗 偽 陰性 大約 30% 兩次 9% 三次 3% 三次 這樣 做錯 機會 就 低 目前 極限 大概 就 這樣子 復 陽的 意義 大部分 復 陽 病毒量 不 高 傳染力 也 不 高 現在 觀察到 病人 週都 可能 測到 病毒 所以 回家 後 還是 要 勤洗手 做 健康 管理 復 陽 對於 感控 可能 也 壓力 因為 意味 需要 把 病人 隔離 更 久 關於 病毒 變異 病毒 變異 會 朝著 增強 傳染 效率 還有 致病 能力 這兩個 方向 病毒 變異 位置 如果 變到 PCR 偵測 序列 那 這個 PCR 就會測 不 出來 目前 全世界 都 即時 追蹤 病毒 序列 這 可以 很快 修正 病毒 變異 如果 對 疫苗 針對 位置 變異 這就會 影響到 疫苗 開發 疫苗 就 需要 改變 p s 這就會 讓 疫苗 生產 所 需 時間 拉 更長 目前 最 有效 藥物 指瑞得 西韋 針對 酵素 這個 酵素 比較 不 容易 變異 新冠 一 隻 演化 得 成功 病毒 適應 人類 讓 人類 得病 輕症 甚至 無 症狀 且 還可以 傳染 這樣 就 難 防治 結論 全世界 應該 沒有 哪個 國家 會 躲過 這波 流行 案例 很少 國家 你 要 小心 他 真的 少 還是 沒有 去 偵測,718
"各位早安，初二愉快！
這是當年心理健康行動聯盟為SARS事件提供的安心手冊，目前台灣的新型肺炎疫情雖沒這麼嚴重，但是我們可告知一些可能被隔離的朋友或大眾參考要如何自處!!
現在重要在心情調適，家人朋友相互支持，共同渡過這段流感與新型肺炎肆虐期間！
注意公共衛生、提升免疫力、健康行為等都要注意，面對疫情，能夠處變不驚，面對疾病，能夠冷靜寬心。",0,保健秘訣、食品安全,各位 早安 初二 愉快 這是 當年 心理 健康 行動 聯盟 SARS 事件 提供 安心 手冊 目前 台灣 新型 肺炎 疫情 雖 沒 這麼 嚴重 但是 我們 可 告知 一些 可能 被 隔離 朋友 大眾 參考 要 如何 自處 現在 重要 心情 調適 家人 朋友 相互 支持 共同 渡過 這段 流感 與 新型 肺炎 肆虐 期間 注意 公共 衛生 提升 免疫力 健康 行為 等 都 要 注意 面對 疫情 能夠 處變不驚 面對 疾病 能夠 冷靜 寬心,220
"(star)身體健康、在戶外運動時都不用戴口罩！(star)

↓↓戴口罩對象與時機請看這↓↓

(pencil)出入醫院者，要戴口罩
(pencil)有發燒或呼吸道症狀者，要戴口罩
(pencil)免疫較差者，要戴口罩
(pencil)近距離、密閉空間長時間接觸人群時，可考慮配戴口罩",0,保健秘訣、食品安全,star 身體 健康 戶外 運動 時 都 不用 戴口罩 star ↓ ↓ 戴口罩 對象 與 時機 請 看 這 ↓ ↓ pencil 出入 醫院 者 要 戴口罩 pencil 發燒 呼吸道 症狀 者 要 戴口罩 pencil 免疫 較 差者 要 戴口罩 pencil 近距離 密閉 空間 長時間 接觸 人群 時 可 考慮 配戴 口罩,165
"三總營養部營養師蘇秀悅表示，如果是服用錠劑式的，就不要刻意去咬它，含在嘴�，讓它慢慢釋放出來。如果喜歡有咬的感覺，就選擇可咀嚼的C片，讓它發揮最好的效果。而發泡式的C片也許更好，因為服用C片時，一定喝足夠的水，才能避免結石的形成。

有吞嚥困難或不方便咀嚼時，發泡式的C片當然是最自在容易的，而如果是忙碌奔波的上班族，隨時就可吞嚼的C片可能會更方便。

3.按個人需要，選擇單劑或有其他添

根據衛生署的建議，每天建議攝取量（RDA）是60mg，這是以預防壞血病等缺乏症為考量，但如果是想預防疾病、抗老、抗氧化，美國臨床營養學會則建議，可以把標準提高至120∼200mg。

一般而言，維他命C很容易從新鮮的蔬果獲得，例如一顆芭樂就含有100mg左右的維他命C。如果沒辦法從正常的從食物獲得，或者是很容易消耗維他命C的人，如工作壓力大或抽菸，則需要額外的補充。

先確定自己是否需要，再看看產品的劑量是多少？每片是多少毫克？每家製劑不同，有200、500mg，甚至高達1000mg。一般而言，選擇100∼200mg的C片就夠了。
",0,保健秘訣、食品安全,三總 營養部 營養師 蘇秀悅 表示 如果 服用 錠劑 式 就 不要 刻意 去 咬 它 含 嘴 � 讓 它 慢慢 釋放出 來 如果 喜歡 咬 感覺 就 選擇 可 咀嚼 C 片 讓 它 發揮 最好 效果 而 發泡 式 C 片 也許 更 好 因為 服用 C 片時 一定 喝 足夠 水 才能 避免 結石 形成 吞嚥 困難 不 方便 咀嚼 時 發泡 式 C 片 當然 最 自在 容易 而 如果 忙碌 奔波 上班族 隨時 就 可吞嚼 C 片 可能 會 更 方便 按個 人 需要 選擇 單劑 其 他 添 根據 衛生署 建議 每天 建議 攝取量 RDA 60mg 這是 以 預防 壞血病 等 缺乏症 考量 但 如果 想 預防 疾病 抗老 抗氧化 美國 臨床 營養 學會 則 建議 可以 把 標準 提高 至 120 ∼ 200mg 一般而言 維他命 C 容易 新鮮 蔬果 獲得 例如 一顆 芭樂 就 含有 100mg 左右 維他命 C 如果 沒辦法 正常 食物 獲得 或者 容易 消耗 維他命 C 人 如 工作 壓力 大 抽菸 則 需要 額外 補充 先 確定 自己 是否 需要 再 看看 產品 劑量 多少 每片 多少 毫克 每家 製劑 不同 200 500mg 甚至 高達 1000mg 一般而言 選擇 100 ∼ 200mg C 片就夠,560
"#總柴小教室 #衛福編編宣導時間 #次氯酸水

🐶注意🚨
👉次氯酸主要是拿來消毒『環境』
☝不是拿來消毒『人』的
　
🐶不要把次氯酸水往別人身上噴
🐶不要把次氯酸水往自己身上噴
🐶既無效又危險喔🚨
　
📗次氯酸水正確用
>>>https://bit.ly/2J7BUjS

🎥防疫大作戰 - 不要用「次氯酸水」洗手（影片） 
>>>https://youtu.be/_clkCXkMlg4

(eyes)Fb 貼文
>>>https://bit.ly/2QI5d0B",0,保健秘訣、食品安全,總柴 小 教室 衛福 編編 宣導 時間 次氯酸 水 🐶 注意 🚨 👉 次氯酸 主要 拿來 消毒 環境 ☝ 不 拿來 消毒 人 🐶 不要 把 次氯酸 水往 別人 身上噴 🐶 不要 把 次氯酸 水往 自己 身上噴 🐶 既 無效 又 危險 喔 🚨 📗 次氯酸 水 正確 用 https bit ly 2J7BUjS 🎥 防疫 大作戰 不要 用 次氯酸 水 洗手 影片 https youtu be clkCXkMlg4 eyes Fb 貼文 https bit ly 2QI5d0B,247
"大家好，在下龔醫師，在台灣與美國接受當代醫學嚴謹訓練薰陶，行醫己然四十餘年！
最近肺炎病毒🦠造成大家都在關注這件事情！
在此淺談一下，到底什麼是病毒呢？
病毒與細菌有什麼差別呢？
簡單地先說清楚
細菌吧
它是一個獨立生活的生物個體，它大概有多大呢？它和我們身體普通的細胞大小差的有限，只要用一般的光學顯微鏡就可以看到它，因此如果體內有細菌使我們生病了，我們就研發並使用藥物攻擊消滅這個細菌！
但是病毒🦠不同於細菌，它們非常細小，只有一般細胞細菌的千分之一大，甚至更小更小必須要用電子顯微鏡才找得到他。
病毒非常小，不是一個完整的生物個體，它只是RNA分子，無法自理生活，他的生存必須要，躦進到細胞裡面去寄生，因此藥物無法直接接觸病毒，所以目前還不容易有特效藥治療或殺死病毒🦠除非細胞與病毒，同歸於盡大家一起死！

第二個方法就是把病毒從細胞裡面趕出來，並且將之排出身體！這樣才可以保住這個細胞！

接下來的課題是如何把病毒從細胞裡面趕出來呢？到目前為止，就有一個好方法，是靠自己體內的荷爾蒙來執行這個趨趕的任務。
首先我們要營養均衡的心情另外非常重要的就是每天如果可能盡量要曬半個小時以上的太陽為什麼呢？
因為自然的太陽光波會透過我們的眼睛👀，左右兩條視神經向腦內傳導，會交叉在腦部中央！視神經交叉的正下方，有一個馬鞍凹陷，內藏腦垂體！這是荷爾蒙的司令部，當適當的陽光光波刺激了腦垂體，就會摧它上班工作，找出身體上，有何種狀況，從而下指令，派出適當的荷爾去解決問題！
例如把病毒從細胞都趕出來或是其他任務！
被排出來的病毒會經過排洩系統傳到大腸裡面跟著糞便排出身體因此，每天順利的排便也是重要的！
最後把重點重複一遍在這個特殊的情況其實我們最要依賴的也就是我們自己的身體

請吃各種顏色的蔬菜🥬那是維他命的來源。
多喝溫熱水，病毒怕熱
足夠充足睡眠
每天至少曬半個小時以上的太陽🌞
做體操練氣功，
保持平靜樂觀，
像打座般的心情！
如果你有宗教信仰，那麼每天為自己家人與眾生禱告求求佛祖，敬畏上帝天主，或是禮拜真神阿拉，誠意正心，這也是蠻好的！
老天會保祐正直善良的好人。
我們住在同一個地球村裡不分彼此，願所有人都能夠
平安健康快樂！
",0,保健秘訣、食品安全,大家 好 下 龔 醫師 台灣 與 美國 接受 當代 醫學 嚴謹 訓練 薰陶 行醫 己然 四 十餘年 最近 肺炎 病毒 🦠 造成 大家 都 關注 這件 事情 此 淺談 一下 到底 什麼 病毒 呢 病毒 與 細菌 有什麼 差別 呢 簡單 地先 說清楚 細菌 吧 它 一個 獨立 生活 生物 個體 它 大概 多 大 呢 它 我們 身體 普通 細胞 大小 差 有限 只要 用 一般 光學 顯微鏡 就 可以 看到 它 因此 如果 體內 細菌 使 我們 生病 我們 就 研發 並 使用 藥物 攻擊 消滅 這個 細菌 但是 病毒 🦠 不同於 細菌 它們 細小 只有 一般 細胞 細菌 千分 之 一大 甚至 更 小 更 小 必須 要用 電子 顯微鏡 才 找 得到 他 病毒 小 不是 一個 完整 生物 個體 它 只是 RNA 分子 無法 自理 生活 他 生存 必須 要 躦 進到 細胞 裡面 去 寄生 因此 藥物 無法 直接 接觸 病毒 所以 目前 還不 容易 特效藥 治療 殺死 病毒 🦠 除非 細胞 與 病毒 同歸於盡 大家 一起 死 第二個 方法 就是 把 病毒 細胞 裡面 趕出來 並且 將之 排出 身體 這樣 才 可以 保住 這個 細胞 接下來 課題 如何 把 病毒 細胞 裡面 趕出來 呢 目前 為止 就 一個 好 方法 自己 體內 荷爾蒙 來 執行 這個 趨趕 任務 首先 我們 要 營養 均衡 心情 另外 重要 就是 每天 如果 可能 盡量 要 曬 半個 小時 以上 太陽 為什麼 呢 因為 自然 太陽光 波會 透過 我們 眼睛 👀 左右 兩條 視神經 向 腦內 傳導 會 交叉 腦部 中央 視神經 交叉 正 下方 一個 馬鞍 凹陷 內藏 腦垂體 這是 荷爾蒙 司令部 當 適當 陽光 光波 刺激 腦垂體 就 會 摧 它 上班 工作 找出 身體 上 何種 狀況 從而 下 指令 派出 適當 荷爾去 解決 問題 例如 把 病毒 細胞 都 趕出來 或是 其 他 任務 被 排出來 病毒 會 經過 排洩 系統 傳到 大腸 裡面 跟 著 糞便 排出 身體 因此 每天 順利 排便 也 重要 最後 把 重點 重複 一遍 這個 特殊 情況 其實 我們 最要 依賴 也 就是 我們 自己 身體 請 吃 各種 顏色 蔬菜 🥬 那 維他命 來源 多 喝 溫熱 水 病毒 怕熱 足夠 充足 睡眠 每天 至少 曬半個 小時 以上 太陽 🌞 做 體操 練 氣功 保持 平靜 樂觀 像 打座般 心情 如果 你 宗教 信仰 那麼 每天 自己 家人 與 眾生 禱告 求求 佛祖 敬畏 上帝 天主 或是 禮拜 真神 阿拉 誠意 正心 這也 蠻好 老天 會 保祐 正直 善良 好人 我們 住 同一 個 地球村 裡 不分彼此 願 所有人 都 能夠 平安 健康 快樂,1170
"3/20台灣的新冠肺炎增加27例，其中24例境外移入，引起許多人恐慌，囤貨。
整理新冠肺炎重點，希望大家了解病毒，知道如何防疫，配合衛福部政策，要小心但不必恐慌。

1.新冠肺炎是飛沫傳染，接觸傳染。不是空氣傳染。

2.預防飛沫傳染:
a.病人講話時距離1公尺。
b.病人咳嗽打噴嚏時距離2公尺。
c.病人戴口罩時就没有飛沫，只要注意接觸傳染。

3.預防接觸傳染
a.多洗手，別摸口眼鼻。
b.病人戴口罩可攔下90%以上病毒，病人衣物和環境中病毒量變少，傳染機率就很低。

4.戴口罩的目的是保護別人，不是保護自己。要求病人戴口罩的目的是保護醫療人員(保護國家重要防疫資產)，要求醫療人員戴口罩的目的是保護病人，因為病人年紀大抵抗力差。

5.保護自己最重要是
a.要求病人戴口罩
b.自己勤洗手。

5.台灣對接觸者的定義已經放得很寬。所有接觸者採檢陽性才1.5%。大家遵守衛福部的指引，不要自己跑醫院要求檢驗。

6.得新冠肺炎
a.66%症狀很輕
b.28%輕度肺炎
c.6%嚴重肺炎(大部分是老年人)。
e.義大利確診者死亡率
i.30歲以下死亡率0。
ii.30~50歲死亡率0.1%。
iii.80歲以上死亡率17%。
iv.90%以上死者>70歲。

7.台灣現在幾乎全民戴口罩，已經不可能有大規模群聚感染或疫情爆發，小規模群聚難免，但影響不大。

8.最壞的估算，就算台灣有1萬例感染，台灣的社會能量和醫療能量可以應付，不會崩盤。
a.輕症6600人居家隔離
b.輕度肺炎2800人住院隔離
c.重度肺炎600人住負壓隔離病房。
d.2300萬台灣人照顧1萬個病人。等於2300人照顧1個病人， 規劃好就不會亂。
e.台灣防疫世界第一，不可能出現1萬例感染這種極端疫情。

台灣這次管控新冠肺炎，只要繼續小心謹慎，一定没問題。大家要了解病毒傳播模式才知道如何防範，不會驚恐，不會相信謠言，不使用偏方，或用錯方法防疫。
",0,保健秘訣、食品安全,20 台灣 新冠 肺炎 增加 27 例 其中 24 例 境外 移入 引起 許多 人 恐慌 囤貨 整理 新冠 肺炎 重點 希望 大家 了解 病毒 知道 如何 防疫 配合 衛福部 政策 要 小心 但 不必 恐慌 新冠 肺炎 飛沫 傳染 接觸 傳染 不 空氣 傳染 預防 飛沫 傳染 a 病人 講話 時 距離 公尺 b 病人 咳嗽 打噴嚏 時 距離 公尺 c 病人 戴口罩 時 就 没 飛沫 只要 注意 接觸 傳染 預防 接觸 傳染 a 多 洗手 別摸口 眼鼻 b 病人 戴口罩 可 攔下 90% 以上 病毒 病人 衣物 環境 中 病毒量 變少 傳染 機率 就 低 戴口罩 目的 保護 別人 不 保護 自己 要求 病人 戴口罩 目的 保護 醫療 人員 保護 國家 重要 防疫 資產 要求 醫療 人員 戴口罩 目的 保護 病人 因為 病人 年紀 大 抵抗力 差 保護 自己 最 重要 a 要求 病人 戴口罩 b 自己 勤洗手 台灣 對 接觸 者 定義 已經 放得 寬 所有 接觸 者 採檢 陽性 才 1.5% 大家 遵守 衛福部 指引 不要 自己 跑 醫院 要求 檢驗 得 新冠 肺炎 a.66% 症狀 很輕 b.28% 輕度 肺炎 c.6% 嚴重 肺炎 大部分 老年人 e 義大利 確診者 死亡率 i.30 歲 以下 死亡率 ii.30 50 歲 死亡率 0.1% iii.80 歲 以上 死亡率 17% iv.90% 以上 死者 70 歲 台灣 現在 幾乎 全民 戴口罩 已經 不可能 大規模 群聚 感染 疫情 爆發 小 規模 群聚 難免 但 影響 不大 最壞 估算 就算 台灣 萬例 感染 台灣 社會 能量 醫療 能量 可以 應付 不會 崩盤 a 輕症 6600 人 居家 隔離 b 輕度 肺炎 2800 人 住院 隔離 c 重度 肺炎 600 人住 負壓 隔離 病房 d.2300 萬 台灣人 照顧 萬個 病人 等於 2300 人 照顧 個 病人 規劃好 就 不會 亂 e 台灣 防疫 世界 第一 不可能 出現 萬例 感染 這種 極端 疫情 台灣 這次 管控 新冠 肺炎 只要 繼續 小心 謹慎 一定 没 問題 大家 要 了解 病毒 傳播 模式 才 知道 如何 防範 不會 驚恐 不會 相信 謠言 不 使用 偏方 用錯 方法 防疫,965
"(red arrow up)(red arrow up)(red arrow up)為什麼洗個手要「內外夾弓大立腕」這麼麻煩？因為如果不這樣做，根本不可能把每個部位的病毒都洗掉！

請看示範影片，變成黑色才表示有洗到！（影片裡的流程是：內夾外弓大立腕，順序不同但效果一樣）",0,保健秘訣、食品安全,red arrow up red arrow up red arrow up 為什麼 洗個 手要 內外 夾弓 大立 腕 這麼 麻煩 因為 如果 不 這樣 做 根本 不可能 把 每個 部位 病毒 都 洗掉 請 看 示範 影片 變成 黑色 才 表示 洗 影片 裡的 流程 內 夾外 弓 大立 腕 順序 不同 但 效果 一樣,159
"花二分鍾看完，安全護一身。
科技在進步，污染毒素加劇，病毒在變異進化。。。千萬要小心。。。危險在身邊。
	

被自家狗舔了一口，让他毁了容、失去了双腿和6根手指....每年有44000人因此病而丧命！
https://mp.weixin.qq.com/s/QO6JvsiblW-SXUZfowy6Cw",0,保健秘訣、食品安全,花二分 鍾 看完 安全 護一身 科技 進步 污染 毒素 加劇 病毒 變異 進化 千萬要 小心 危險 身邊 被 自家 狗 舔 一口 让 他 毁 容 失去 双腿 根 手指 .... 每年 44000 人 因此 病而 丧命 https mp weixin qq com s QO6JvsiblW SXUZfowy6Cw,156
