articleId,categoryId,text,aiModel,aiConfidence,status,title,negativeFeedbackCount,positiveFeedbackCount,replyType
lw8r5uya4idh,lT3h7XEBrIRcahlYugqq,"你收到 LINE 傳「別再吃肉丸了！業者要判死刑啦」、「嚇！ㄧ顆超標 吃毒澱粉像服毒」這樣的訊息嗎？其實這樣的說法來自 2013 的新聞標題，但經過後續的加油添醋，讓這則訊息已經變得有點扭曲了。

LINE訊息破解：
https://www.mygopen.com/2018/03/line_7.html

接觸這類的加工食品當然要多注意，這也需要相關單位來把關，但訊息硬是將肉圓、毒澱粉跟洗腎劃上等號，專家表示這缺乏科學佐證，控制三高才是預防慢性腎臟病和洗腎的重點囉！ ",bert,1.0,NORMAL,保健秘訣、食品安全,0,8,NOT_RUMOR
lomubp27viif,lT3h7XEBrIRcahlYugqq,"黃立民老師上課！ 2020.3.2

#關於PCR檢測：
1.PCR本身的敏感度不是100%。雖檢體有病毒但檢查不夠敏感，PCR就會是陰性。另外要看採取檢體的方式，比方說採到比較差的檢體或是下呼吸道才有病毒，但你採上呼吸道就採不到。

2.第一代的PCR檢驗方式還有待加強，還可以再好一點。

3.PCR一次檢驗偽陰性大約30%，兩次9%，三次3%，三次這樣做錯的機會就很低了，目前的極限大概就這樣子。

4.復陽的意義？大部分復陽病毒量是不高的。傳染力也不高。現在觀察到病人3~4週都有可能測到病毒，所以回家後還是要勤洗手做健康管理。

5.復陽對於感控可能也是壓力，因為意味需要把病人隔離更久。

#關於病毒變異：
1.病毒變異會朝著增強傳染的效率還有致病的能力這兩個方向。

2.病毒變異的位置如果變到PCR偵測的序列，那這個PCR就會測不出來。目前全世界都很即時的追蹤病毒的序列，這可以很快的修正。

3.病毒變異如果是對疫苗針對的位置變異，這就會影響到疫苗的開發，疫苗就需要改變。
（p.s.這就會讓疫苗生產所需的時間拉更長）

4.目前最有效的藥物（指瑞得西韋）是針對酵素，這個酵素比較不容易變異。

5.新冠是一隻演化得非常成功的病毒，很適應人類，讓人類得病輕症甚至無症狀且還可以傳染，這樣就非常難防治。

結論：全世界應該沒有哪個國家會躲過這波流行。案例很少的國家你要小心他是真的少還是沒有去偵測。",bert,1.0,NORMAL,保健秘訣、食品安全,0,1,NOT_RUMOR
kpldz5kpb10q,lT3h7XEBrIRcahlYugqq,"「芒果打催熟劑，有毒不能吃」
「香腸和養樂多一起吃會致癌」
「隔夜水致癌，不可以喝」
「吃金針菇，可以殺死癌細胞」

通通是假的，
謠言大本營-內容農場。
https://www.gvm.com.tw/article.html?id=44405&utm_source=Line&utm_medium=GV_banner",bert,1.0,NORMAL,保健秘訣、食品安全,0,8,NOT_RUMOR
km19mcblq61x,lT3h7XEBrIRcahlYugqq,"各位早安，初二愉快！
這是當年心理健康行動聯盟為SARS事件提供的安心手冊，目前台灣的新型肺炎疫情雖沒這麼嚴重，但是我們可告知一些可能被隔離的朋友或大眾參考要如何自處!!
現在重要在心情調適，家人朋友相互支持，共同渡過這段流感與新型肺炎肆虐期間！
注意公共衛生、提升免疫力、健康行為等都要注意，面對疫情，能夠處變不驚，面對疾病，能夠冷靜寬心。",bert,1.0,NORMAL,保健秘訣、食品安全,0,1,NOT_RUMOR
iq3ob3c4wlvt,lT3h7XEBrIRcahlYugqq,"(star)身體健康、在戶外運動時都不用戴口罩！(star)

↓↓戴口罩對象與時機請看這↓↓

(pencil)出入醫院者，要戴口罩
(pencil)有發燒或呼吸道症狀者，要戴口罩
(pencil)免疫較差者，要戴口罩
(pencil)近距離、密閉空間長時間接觸人群時，可考慮配戴口罩",bert,1.0,NORMAL,保健秘訣、食品安全,0,3,NOT_RUMOR
i9k510m4qor1,lT3h7XEBrIRcahlYugqq,"三總營養部營養師蘇秀悅表示，如果是服用錠劑式的，就不要刻意去咬它，含在嘴�，讓它慢慢釋放出來。如果喜歡有咬的感覺，就選擇可咀嚼的C片，讓它發揮最好的效果。而發泡式的C片也許更好，因為服用C片時，一定喝足夠的水，才能避免結石的形成。

有吞嚥困難或不方便咀嚼時，發泡式的C片當然是最自在容易的，而如果是忙碌奔波的上班族，隨時就可吞嚼的C片可能會更方便。

3.按個人需要，選擇單劑或有其他添

根據衛生署的建議，每天建議攝取量（RDA）是60mg，這是以預防壞血病等缺乏症為考量，但如果是想預防疾病、抗老、抗氧化，美國臨床營養學會則建議，可以把標準提高至120∼200mg。

一般而言，維他命C很容易從新鮮的蔬果獲得，例如一顆芭樂就含有100mg左右的維他命C。如果沒辦法從正常的從食物獲得，或者是很容易消耗維他命C的人，如工作壓力大或抽菸，則需要額外的補充。

先確定自己是否需要，再看看產品的劑量是多少？每片是多少毫克？每家製劑不同，有200、500mg，甚至高達1000mg。一般而言，選擇100∼200mg的C片就夠了。
",bert,1.0,NORMAL,保健秘訣、食品安全,0,1,NOT_RUMOR
hfum7vnmdyld,lT3h7XEBrIRcahlYugqq,"#總柴小教室 #衛福編編宣導時間 #次氯酸水

🐶注意🚨
👉次氯酸主要是拿來消毒『環境』
☝不是拿來消毒『人』的
　
🐶不要把次氯酸水往別人身上噴
🐶不要把次氯酸水往自己身上噴
🐶既無效又危險喔🚨
　
📗次氯酸水正確用
>>>https://bit.ly/2J7BUjS

🎥防疫大作戰 - 不要用「次氯酸水」洗手（影片） 
>>>https://youtu.be/_clkCXkMlg4

(eyes)Fb 貼文
>>>https://bit.ly/2QI5d0B",bert,1.0,NORMAL,保健秘訣、食品安全,0,1,NOT_RUMOR
fda1z2uf0yxz,lT3h7XEBrIRcahlYugqq,"大家好，在下龔醫師，在台灣與美國接受當代醫學嚴謹訓練薰陶，行醫己然四十餘年！
最近肺炎病毒🦠造成大家都在關注這件事情！
在此淺談一下，到底什麼是病毒呢？
病毒與細菌有什麼差別呢？
簡單地先說清楚
細菌吧
它是一個獨立生活的生物個體，它大概有多大呢？它和我們身體普通的細胞大小差的有限，只要用一般的光學顯微鏡就可以看到它，因此如果體內有細菌使我們生病了，我們就研發並使用藥物攻擊消滅這個細菌！
但是病毒🦠不同於細菌，它們非常細小，只有一般細胞細菌的千分之一大，甚至更小更小必須要用電子顯微鏡才找得到他。
病毒非常小，不是一個完整的生物個體，它只是RNA分子，無法自理生活，他的生存必須要，躦進到細胞裡面去寄生，因此藥物無法直接接觸病毒，所以目前還不容易有特效藥治療或殺死病毒🦠除非細胞與病毒，同歸於盡大家一起死！

第二個方法就是把病毒從細胞裡面趕出來，並且將之排出身體！這樣才可以保住這個細胞！

接下來的課題是如何把病毒從細胞裡面趕出來呢？到目前為止，就有一個好方法，是靠自己體內的荷爾蒙來執行這個趨趕的任務。
首先我們要營養均衡的心情另外非常重要的就是每天如果可能盡量要曬半個小時以上的太陽為什麼呢？
因為自然的太陽光波會透過我們的眼睛👀，左右兩條視神經向腦內傳導，會交叉在腦部中央！視神經交叉的正下方，有一個馬鞍凹陷，內藏腦垂體！這是荷爾蒙的司令部，當適當的陽光光波刺激了腦垂體，就會摧它上班工作，找出身體上，有何種狀況，從而下指令，派出適當的荷爾去解決問題！
例如把病毒從細胞都趕出來或是其他任務！
被排出來的病毒會經過排洩系統傳到大腸裡面跟著糞便排出身體因此，每天順利的排便也是重要的！
最後把重點重複一遍在這個特殊的情況其實我們最要依賴的也就是我們自己的身體

請吃各種顏色的蔬菜🥬那是維他命的來源。
多喝溫熱水，病毒怕熱
足夠充足睡眠
每天至少曬半個小時以上的太陽🌞
做體操練氣功，
保持平靜樂觀，
像打座般的心情！
如果你有宗教信仰，那麼每天為自己家人與眾生禱告求求佛祖，敬畏上帝天主，或是禮拜真神阿拉，誠意正心，這也是蠻好的！
老天會保祐正直善良的好人。
我們住在同一個地球村裡不分彼此，願所有人都能夠
平安健康快樂！
",bert,1.0,NORMAL,保健秘訣、食品安全,0,7,NOT_RUMOR
nml1vuctu7k5,lT3h7XEBrIRcahlYugqq,防疫！買不到濃度75%酒精？台糖教你自製消毒用酒精+|+武漢肺炎防疫+|+產業+|+經濟日報:https://money.udn.com/money/story/5658/4314256?utm_source=moneylinemobile&utm_medium=share,bert,1.0,NORMAL,保健秘訣、食品安全,0,2,NOT_RUMOR
njdc79eontwt,lT3h7XEBrIRcahlYugqq,"🈲喝水助瘦是該飯前or飯後喝？醫曝十大禁忌，別跟腸胃過不去！
https://reurl.cc/nz7n0l

🍠吃地瓜還照樣便祕，原來是少做「這件事」！
https://reurl.cc/yZknga",bert,1.0,NORMAL,保健秘訣、食品安全,0,1,NOT_RUMOR
